name,type,neighborhood,street_address,city,state,zip
Meadow Park Elementary School,schools,Forest Hill Village,956 Fla. Mango Rd. ,West Palm Beach,FL,33406
Melaleuca Elementary School,schools,Gun Club Estates,5759 Gun Club Rd. ,West Palm Beach,FL,33415
Morikami Park Elementary,schools,Delray Beach,6201 Morikami Park Rd. ,Delray Beach,FL,33484
New Horizons Elementary School,schools,Wellington,13900 Greenbriar Blvd. ,Wellington,FL,33414
North Grade K-8,schools,Lake Worth,824 N. K St. ,Lake Worth,FL,33460
Northboro Elementary School,schools,Northwood Hills,400 40th St. ,West Palm Beach,FL,33407
Northmore Elementary School,schools,Northwood Gardens,4111 N. Terrace Dr. ,West Palm Beach,FL,33407
Orchard View Elementary School,schools,Delray Beach,4050 Old Germantown Rd. ,Delray Beach,FL,33445
Pahokee Elementary School,schools,Belle Glade & Pahokee,560 East Main Place ,Pahokee,FL,33476
Palm Beach Gardens Elementary School,schools,Palm Beach Gardens,10060 Riverside Dr. ,Palm Beach Gardens,FL,33410
Palm Beach Public,schools,Palm Beach,239 Cocoanut Row ,Palm Beach,FL,33480
Palm Springs Elementary School,schools,Palm Springs,101 Davis Rd. ,Palm Springs,FL,33461
Palmetto Elementary School,schools,Southend (SoSo),5801 Parker Ave. ,West Palm Beach,FL,33405
Panther Run Elementary School,schools,Lake Worth,10775 Lake Worth Rd. ,Lake Worth,FL,33449
Pierce Hammock Elementary School,schools,Loxahatchee,14255 Hamlin Blvd. ,Loxahatchee,FL,33470
Pine Grove Elementary School,schools,Delray Beach,1000 SW 4th Avenue ,Delray Beach,FL,33444
Pine Jog Elementary School,schools,Forest Hill Village,6315 Summit Blvd., West Palm Beach,FL,33415
Pioneer Park Elementary School,schools,Belle Glade & Pahokee,39500 Pioneer Park Rd. ,Belle Glade,FL,33430
Pleasant City Elementary School,schools,Old Northwood Historic Distric,2222 Spruce Ave. ,West Palm Beach,FL,33407
Plumosa School of the Arts,schools,Delray Beach,2501 Seacrest Blvd. ,Delray Beach,FL,33444
Poinciana Elementary School,schools,Boynton Beach,1203 N. Seacrest Blvd. ,Boynton Beach,FL,33435
Riviera Beach Prep & Achievement Academy,schools,Riviera Beach,7071 Garden Rd. ,Riviera Beach,FL,33404
Rolling Green Elementary School,schools,Boynton Beach,550 Miner Rd. ,Boynton Beach,FL,33435
Roosevelt Elementary School,schools,Roosevelt Estates,1220 L A Kirksey St. ,West Palm Beach,FL,33401
Rosenwald Elementary School,schools,South Bay,1321 Martin L. King Jr. Blvd. ,South Bay,FL,33493
Royal Palm Beach Elementary School,schools,Royal Palm Beach,11911 Okeechobee Blvd. ,Royal Palm Beach,FL,33411
Royal Palm School,schools,Lantana,6650 Lawrence Road ,Lantana,FL,33462
S. D. Spady Elementary School,schools,Delray Beach,901 NW 3rd St. ,Delray Beach,FL,33444
Sandpiper Shores Elementary School,schools,Boca Raton,11201 Glades Rd. ,Boca Raton,FL,33498
Seminole Trails Elementary School,schools,Villages of Palm Beach Lakes,4075 Willow Pond Rd. ,West Palm Beach,FL,33417
South Grade Elementary School,schools,Lake Worth,716 South K St. Lake Worth,Lake Worth,FL,33460
South Olive Elementary School,schools,Southend (SoSo),7101 S. Olive Ave. West Palm Beach,West Palm Beach,FL,33405
Starlight Cove Elementary School,schools,Lantana,6300 Seminole Dr. ,Lantana,FL,33462
Sunrise Park Elementary School,schools,Boca Raton,19400 Coral Ridge Dr. ,Boca Raton,FL,33498
Sunset Palms Elementary School,schools,Boynton Beach,8650 Boynton Beach Blvd. ,Boynton Beach,FL,33472
The Conservatory School @ North Palm Beach,schools,North Palm Beach,401 Anchorage Dr. ,North Palm Beach,FL,33408
Timber Trace Elementary School,schools,Palm Beach Gardens,5200 117th Ct. ,North Palm Beach,FL,33418
U. B. Kinsey/Palmview Elementary School,schools,Northwest,800 11th St. ,West Palm Beach,FL,33401
Verde K-8,schools,Boca Raton,6590 Verde Trail Boca Raton,Boca Raton,FL,33433
Village Academy on the Art & Sara Jo Kobacker Campus,schools,Delray Beach,400 SW 12th Ave. ,Delray Beach,FL,33444
Washington Elementary Magnet School,schools,Riviera Beach,1709 W. 30th St.,Riviera Beach,FL,33404
Waters Edge Elementary School,schools,Boca Raton,21601 Shorewind Dr. ,Boca Raton,FL,33428
Wellington Elementary School,schools,Wellington,13000 Paddock Dr.,Wellington,FL,33414
West Gate Elementary School,schools,Loxahatchee,1545 Loxahatchee Dr.,West Palm Beach,FL,33409
West Riviera Elementary School,schools,Riviera Beach,Temporary Location: 1160 Avenue N, Riviera Beach,FL,33404
Westward Elementary School,schools,Roosevelt Estates,1101 Golf Ave. ,West Palm Beach,FL,33401
Whispering Pines Elementary,schools,Boca Raton,9090 Spanish Isles Blvd. ,Boca Raton,FL,33496
Wynnebrook Elementary School,schools,Golfview Heights,1167 Drexel Rd. ,West Palm Beach,FL,33417
West Boynton Park and Recreation Center,community_center,Lake Worth,6000 Northtree Blvd., Lake Worth,FL,33463
West Jupiter Recreation Center,community_center,Jupiter,6401 W Indiantown Rd,Jupiter,FL,33458
Westgate Park & Recreation Center,community_center,Westgate,3691 Oswego ,West Palm Beach,FL,33409
Riverbend Park/Loxahatchee River Battlefield Park,community_center,Jupiter,9060 W Indiantown Rd,Jupiter,FL,33478
Therapeutic Recreation Complex,community_center,Lake Worth,2728 Lake Worth Rd,West Palm Beach,FL,33461
Sports and Wellness,community_center,Lake Worth,2728 Lake Worth Rd,West Palm Beach,FL,33461
Jim Brandon Equestrian Center,community_center,Palm Beach Farms,7500 Forest Hill Blvd,West Palm Beach,FL,33413
Ocean Rescue,first_responders,Boynton Beach,6990 N Ocean Blvd, Boynton Beach,FL,33435
Lake Lytal Family Aquatic Center,aquatic_center,Gun Club Estates,3645 Gun Club Rd ,West Palm Beach,FL,33406
Beachside Rehab,rehab_center,Northwood Gardens,1101 54th Street, West Palm Beach,FL,33407
The Haven Detox,rehab_center,Spencer Lakes,1325 Haverhill Road N.,West Palm Beach,FL,33417
HEAL Behavioral Health - Palm Beach Luxury Rehab,rehab_center,Downtown West Palm Beach,105 S Narcissus Ave Suite 309,West Palm Beach,FL,33401
Allure Detox,rehab_center,Northwood Gardens,900 54th S N,West Palm Beach,FL,33407
BTTC West Palm Beach Rehab,rehab_center,Northpoint,901 Northpoint Parkway Suite 400 ,West Palm Beach, FL,33407
Reprieve Recovery Center Alcohol & Drug Rehab West Palm Beach,rehab_center,Northpoint,4700 North Congress, Suite 104, FL,33407
Behavioral Health of the Palm Beaches,rehab_center,Lake Worth,7859 Lake Worth Road, Lake Worth Beach,FL,33467
Palm Beach Recovery Centers,rehab_center,Northwood Hills,2700 Broadway Ave ,West Palm Beach,FL,33407
Zinnia Health Singer Island,rehab_center,Riviera Beach,1166 Blue Heron Blvd, Riviera Beach,FL,33404
All In Solutions Wellness Center,rehab_center,Northpoint,4461 Medical Center Way, West Palm Beach,FL,33407
Flagler Health and Wellness,rehab_center,Palm Beach Lakes,1803 S Australian Ave, West Palm Beach,FL,33409
Ambrosia Behavioral Health,rehab_center,Northwood Hills,222 Picadilly St ,West Palm Beach,FL,33407
The Recovery Village Palm Beach at Baptist Health Drug and Alcohol Rehab,rehab_center,Lake Worth,4905 Lantana Rd, Lake Worth Beach,FL,33463
Beachway Therapy Center,rehab_center,Northboro Park,1700 N Dixie Hwy, West Palm Beach,FL,33407
Genesis House Addiction Treatment Inc.,rehab_center,Lake Worth,4865 40th Way S, Lake Worth Beach,FL,33461
Aspen Behavioral Health,rehab_center,Palm Beach Lakes,900 Osceola Dr Suite 200 & 108, West Palm Beach,FL,33409
Rock Recovery Center,rehab_center,Schall Circle,1509 N Military Trl, West Palm Beach,FL,33409
Flyland - Daylight Recovery Center,rehab_center,Northpoint,2521 Metrocentre Blvd, West Palm Beach,FL,33407
Ebb Tide Treatment Center,rehab_center,Palm Beach Lakes,400 Executive Center Dr STE 209, West Palm Beach,FL,33401
North Palm Beach Recovery Center,rehab_center,Northwood Shores,2801 N. Flager Dr. ,West Palm Beach,FL,33407
Transitions Recovery,rehab_center,Miami,111 NW 183rd St suite 201, Miami,FL,33169
I-Kare Treatment Center,rehab_center,Mangonia Park,1720 E. Tiffany Drive, Suite 101 Mangonia Park,Fl,33407
Seaside Palm Beach,rehab_center,Palm Beach Shores,106 Blossom Ln, Palm Beach Shores,FL,33404
Rehabilitation Center-Palm Bch,rehab_center,Northpoint,301 Northpoint Parkway ,West Palm Beach, FL,33407
Intrepid Detox Residential,rehab_center,Mangonia Park,1120 48Th St, Mangonia Park,FL,33407
Ascend Recovery Center,rehab_center,Southend (SoSo),5716 S. Dixie Hwy, West Palm Beach,FL,33405
United Recovery Project,rehab_center,Riviera Beach,45 W 17th St Riviera Beach, FL 33404,FL,33404
1000 Hills recovery Center,rehab_center,Schall Circle,2215 N Military Trl B, West Palm Beach,FL,33409
Inspire Recovery,rehab_center,Downtown West Palm Beach,909 N Dixie Hwy. ,West Palm Beach,FL,33401
Recovery Unplugged Drug & Alcohol Rehab Lake Worth,rehab_center,Lake Worth,3153 Canada Ct, Lake Worth Beach,FL,33461
New Season Treatment Center – West Palm Beach,rehab_center,Maitland,2500 Maitland Center Pkwy Suite 250 ,Maitland,FL,32751
ARIA - Addiction Recovery Institute of America,rehab_center,Downtown West Palm Beach,950 Evernia Street ,West Palm Beach, FL,33401
We Level Up Lake Worth FL,rehab_center,Lake Worth,9935 Palomino Drive ,Lake Worth,FL,33467
The Good Life Treatment Center,rehab_center,North Palm Beach,741 US-1, North Palm Beach,FL,33408
The Best Treatment Center,rehab_center,Lantana,112 N Oak Street, Lantana , FL,33462
Fern House Inc,rehab_center,Westgate,1958 Church St, West Palm Beach,FL,33409
Harm Reduction Center,rehab_center,Northpoint,4700 N Congress Ave Suite 200, West Palm Beach,FL,33407
ViaMar Health - Eating Disorder Treatment Center,rehab_center,Villages of Palm Beach Lakes,560 Village Blvd #365 ,West Palm Beach,FL,33409
Bright Futures Treatment Center,rehab_center,Boynton Beach,2320 S Seacrest Blvd STE 300, Boynton Beach,FL,33435
Palm Beach Gardens Recovery,rehab_center,North Palm Beach,860 US-1 #110, North Palm Beach,FL,33408
Grace Fellowship,churches,Golden Lakes,8350 Okeechobee Blvd, West Palm Beach,FL,33411
Faith Church | West Palm Beach,churches,Echo Lake,3505 Shiloh Dr, West Palm Beach,FL,33407
Adolescent Wellness Academy,rehab_center,Miami,9350 Sunset Drive Suite 118,Miami,FL,33173
Principles Recovery Center,rehab_center,Davie,4343 FL-7 #101 Davie, FL 33314,FL,33314
River Church West Palm Beach,churches,Palm Beach Lakes South,3650 Shawnee Ave ,West Palm Beach,FL,33409
First Presbyterian Church of WPB,churches,Downtown West Palm Beach,301 S Olive Ave, West Palm Beach,FL,33401
Family Church Downtown,churches,El Cid,1101 S Flagler Dr, West Palm Beach,FL,33401
Christ Fellowship Church in Royal Palm Beach ,churches,Royal Palm Beach,9905 Southern Blvd, Royal Palm Beach,FL,33411
Christian Convention Center of Jehovah’s Witnesses,churches,Palm Beach Lakes,1610 Palm Beach Lakes Blvd, West Palm Beach,FL,33401
Life.Church West Palm Beach,churches,Stacey Street,6450 Belvedere Rd, West Palm Beach,FL,33413
St Juliana Catholic Church,churches,Southland Park,4500 S Dixie Hwy, West Palm Beach,FL,33405
The Church of Bethesda-By-The Sea,churches,Palm Beach,141 S County Rd, Palm Beach,FL,33480
The Drug Czar,detox,Palm Beach,123 Generic Addresss rd. ,West Palm Beach,FL,33405
St. Edward Roman Catholic Church,churches,Palm Beach,144 N County Rd, Palm Beach,FL,33480
First Christian Church,churches,Palm Beach Lakes South,215 Congress Ave, West Palm Beach,FL,33409
Family Church Village,churches,Villages of Palm Beach Lakes,3600 Village Blvd, West Palm Beach,FL,33407
Holy Name of Jesus Catholic Church,churches,Gun Club Estates,345 S Military Trl, West Palm Beach,FL,33415
Mary Immaculate Catholic Church,churches,Palm Beach Lakes South,390 S Sequoia Dr, West Palm Beach,FL,33409
St Ann Catholic Church,churches,Downtown West Palm Beach,310 N Olive Ave, West Palm Beach,FL,33401
Church of Christ of the Palm Beaches,churches,Forest Hill Village,1014 Jog Rd, West Palm Beach,FL,33415
Divine Savior Church,churches,Golden Lakes,7430 Belvedere Rd, West Palm Beach,FL,33411
United Methodist Church of the Palm Beaches,churches,Palm Beach Lakes South,900 Brandywine Rd, West Palm Beach,FL,33409
Journey Church Lake Worth,churches,Lake Worth,6201 S Military Trl, Lake Worth Beach,FL,33463
Iglesia Familiar Greenacres,churches,Forest Hill Village,855 S. Jog Rd. ,West Palm Beach,FL,33415
Holy Trinity Episcopal Church,churches,Downtown West Palm Beach,211 Trinity Pl, West Palm Beach,FL,33401
Bridge Church,churches,Flamingo Park,515 Palm St, West Palm Beach,FL,33401
Operation Kingdom International Church,churches,Palm Beach Lakes South,1550 Latham Rd suite 7, West Palm Beach,FL,33409
First Haitian Church of God of West Palm Beach,churches,Northwood,2611 Broadway, West Palm Beach,FL,33407
Christ City,churches,Palm Beach Lakes South,2695 N Military Trl, West Palm Beach,FL,33409
SoFlo Church,churches,Forest Hill Village,521 S. Jog Rd, West Palm Beach,FL,33415
Bow Down Church,churches,Northwood,2823 N Australian Ave, West Palm Beach,FL,33407
Calvary Chapel of the Palm Beaches,churches,Lake Worth,5350 Melaleuca Ln, Lake Worth Beach,FL,33463
Palm Beach Lakes Church of Christ,churches,Palm Beach Gardens,4067 Leo Ln, Palm Beach Gardens,FL,33410
Truth Point Church,churches,Palm Beach Lakes South,3505 Shenandoah Rd, West Palm Beach,FL,33409
St. Paul of the Cross Catholic Church,churches,North Palm Beach,10970 Jack Nicklaus Dr, North Palm Beach,FL,33408
New Life Alliance Church,churches,Forest Hill Village,1815 Forest Hill Blvd, West Palm Beach,FL,33406
St John Fisher Catholic Church,churches,Northwood,4001 N Shore Dr, West Palm Beach,FL,33407
Recovery Church Downtown West Palm Beach,churches,Northwood,2823 N Australian Ave, West Palm Beach,FL,33407
Acts 2 Worship Center - West Palm Beach Spirit-filled Assembly of God Church,churches,Loxahatchee,13000 Okeechobee Blvd, Loxahatchee,FL,33470
Church In the Gardens,churches,Palm Beach Gardens,3937 Holly Dr, West Palm Beach,FL,33410
St John Missionary Baptist Church,churches,Pleasant City,2006 A E Isaacs Ave, West Palm Beach,FL,33407
Memorial Presbyterian Church,churches,Flamingo Park,1300 S Olive Ave, West Palm Beach,FL,33401
House of Mercy Christian Center,churches,Westgate,1601 Belvedere Rd, West Palm Beach,FL,33406
Manifest Church - West Palm Beach,churches,Palm Beach Lakes,2275 Palm Beach Lakes Blvd, West Palm Beach,FL,33409
Cidra Church,churches,Gun Club Estates,865 S Congress Ave. ,Palm Springs,FL,33406
Pentecostal Church of God in Christ USA Inc,churches,Pleasant City,540 Cheerful St, West Palm Beach,FL,33407
Central Baptist Church,churches,Gun Club Estates,4422 Gun Club Rd, West Palm Beach,FL,33406
