name,type,neighborhood,street_address,city,state,zip
Helix Urgent Care - North Palm Beach / Lake Park / Palm Beach Gardens,emergency_medical_services,North Palm Beach,328 Northlake Blvd, North Palm Beach,FL,33408
Helix Urgent Care - Palm Springs / Lake Worth / West Palm Beach,emergency_medical_services,Palm Springs,2720 10th Ave N, Palm Springs,FL,33461
HCA Florida Palms West Hospital Emergency Room,emergency_medical_services,Loxahatchee,13001 Southern Blvd, Loxahatchee,FL,33470
Thomas H. Corey VA Medical Center,emergency_medical_services,Palm Beach Gardens,7305 N Military Trl, West Palm Beach,FL,33410
Sanitas Medical Center,emergency_medical_services,Pleasant City,1515 N Flagler Dr Suite 620, West Palm Beach,FL,33401
Palm Beach Veterans Services,veterans_services,Progressive Northwest,810 Datura St #300, West Palm Beach,FL,33401
Veterans Services of America,veterans_services,Progressive Northwest,1209 N Sapodilla Ave, West Palm Beach,FL,33401
Patricks Place,rehab_center,Pompano Beach,P.O. Box 1724 ,Pompano Beach,FL,33061
John Hulick (Drug Czar),government_health_agencies,Downtown West Palm Beach,123 Generic Addresss rd. ,West Palm Beach,FL,33405
The Way Home Treatment Center,rehab_center,Fort Lauderdale,1100 W Oakland Park Blvd # 3, Wilton Manors,FL,33311
FAU (Faculty),schools,Boca Raton,777 Glades RD, Boca Raton,FL,33431
Aware Recovery Care,rehab_center,Delray Beach,1625 S Congress Ave Suite 406, Delray Beach,FL,33445
Commonly Well,resources,West Palm Beach,123 Generic Addresss rd. ,West Palm Beach,FL,33405
The Recovery Coach U.S.,recovery_services,Fort Lauderdale,123 Generic Addresss rd. ,West Palm Beach,FL,33405
Sailboat Sober Living,rehab_center,Fort Lauderdale,5850 SW 37th Ave, Ft. Lauderdale,FL,33312
Heaven Health Management,rehab_center,West Palm Beach,1325 North Haverhill Road, West Palm Beach,FL,33417
Stoked On Life Palm Beach,recovery_services,Palm Beach,123 Generic Addresss rd. ,West Palm Beach,FL,33405
The Recovery Village Palm Beach At Baptist Health,rehab_center,West Palm Beach,123 Generic Addresss rd. ,West Palm Beach,FL,33405
Aware Recovery Care Inc,rehab_center,Delray Beach,1625 S Congress Ave Suite 406, Delray Beach,FL,33445
Life Resources,rehab_center,Wellington,1157 South State Rd. 7 ,Wellington,FL,33414
Patrick’s Place,rehab_center,Pompano Beach,P.O. Box 1724 ,Pompano Beach,FL,33061
The Recovery Coach,rehab_center,Miami,123 Generic Addresss rd. ,West Palm Beach,FL,33405
Sailboat Bend Sober Living,rehab_center,Fort Lauderdale,5850 SW 37th Ave, Ft. Lauderdale,FL,33312
Stoked on Life,rehab_center,Palm Beach Gardens,100 Village Square Crossing Suite 106 ,Palm Beach Gardens,FL,33410
Lakeview Health,rehab_center,jacksonville,1900 Corporate Square Blvd, Jacksonville,FL,32216
DB Wellbeing,wellness_fitness,Jupiter,123 Generic Addresss rd. ,West Palm Beach,FL,33405
Haven Health Management,rehab_center,Palm Springs,2925 10th Ave N, Palm Springs,FL,33461
Self Discovery Group LLC,personal_life_coach,Fort Lauderdale,1700 NW 64th St #500, Fort Lauderdale,FL,33309
Family Healing Solutions,rehab_center,North Palm Beach,123 Generic Addresss rd. ,West Palm Beach,FL,33405
Premier Wellness,mental_health,Boca Raton,123 Generic Addresss rd., West Palm Beach,FL,33458
Flex Spine and Sport,wellness_fitness,Jupiter,1200 Town Center Dr Suite 119, Jupiter,FL,33458
The Recovery Village Palm Beach at Baptist Health,rehab_center,Lake Worth,4905 Lantana Rd, Lake Worth Beach,FL,33463
iMind Mental Health Solutions,rehab_center,Port St Lucie,145 NW Central Parkway Suite 200 ,St Lucie Port St Lucie ,FL,34986
Sunwave,rehab_center,Delray Beach,1200 NW 17th Ave., Suite 16 Delray Beach,FL,33445
South Beach Detox,rehab_center,Miami,85 NW 168th St, North Miami Beach,FL,33169
Health & Lifestyle Specialist,personal_life_coach,West Palm Beach,123 Generic Addresss rd. ,West Palm Beach,FL,33405
Harmony Hills Behavioral Health,rehab_center,Altoona,18121 Boys Ranch Rd, Altoona,FL,32702
Sunrise Detox,rehab_center,Lake Worth,3185 Boutwell Rd, Lake Worth Beach,FL,33461
15th District Drug Court,government_health_agencies,Progressive Northwest,205 N Dixie Hwy,West Palm Beach,FL,33401
Sunview Wellness,rehab_center,Mangonia Park,4802 East Ave.,West Palm Beach,FL,33407
Harrington Legal Alliance,lawyers_legal_services,Northwood Village,311 Golf Road ,West Palm Beach,FL,33407
Compass Health,insurance,Palm Beach Gardens,9920 FL A1A Alt Unit 812 , Palm Beach Gardens,FL,33410
Banyan Treatment Center,mental_health,Boca Raton,1000 NW 15th St ,Boca Raton,FL,33486
Galt Ocean Rehab,rehab_center,Fort Lauderdale,4001 N Ocean Dr #305, Lauderdale-By-The-Sea,FL,33308
Bella’s Angels,health_foundations,Wellington,13860 Wellington Trace #38-111. ,Wellington,FL,33414
One Brother One Sister,big_brother_big_sister,West Palm Beach,123 Generic Addresss rd. ,West Palm Beach,FL,33405
Beach House Center for Recovery,rehab_center,Juno Beach,13211 US-1 ,Juno Beach ,FL,33418
NeuroBehavioral Hospitals,mental_health,Boynton Beach,4905 Park Ridge Blvd, Boynton Beach,FL,33426
Spartan Fitness,wellness_fitness,Palm Beach,600 S Dixie Hwy APT 814,West Palm Beach,FL,33401
Comprehensive Wellness Centers,rehab_center,Lantana,660 S Dixie Hwy, Lantana,FL,33462
Laser Skin and Wellness,wellness_fitness,Palm Beach Gardens,4270 Design Center Drive,Palm Beach Gardens,FL,33410
Milton Recovery,rehab_center,North Palm Beach,521 Northlake Blvd, North Palm Beach,FL,33408
Ocean Walk Recovery,rehab_center,Lantana,511 S Broadway, Lantana,FL,33462
Campus Recovery,rehab_center,Lake Worth,19 S Dixie Hwy, Lake Worth Beach,FL,33460
CROS Ministries,resources,Lake Worth,3677 23rd Avenue South, #B-101 Lake Worth Beach,FL,33461
Beem Light Sauna,wellness_fitness,Jupiter,5430 Military Trail Suite #74 ,Jupiter ,FL,33458
Reset-it,wellness_fitness,Jupiter,123 Generic Addresss rd., West Palm Beach,FL,33458
Prime Coach,personal_life_coach,Jupiter,263 Seabreeze Circle ,Jupiter ,FL,33477
Banyan Treatment Centers,rehab_center,Pompano Beach,950 N Federal Hwy, Pompano Beach,FL,33062
Sober Map,resources,Miami,123 Generic Addresss rd., West Palm Beach,FL,33458
Florida Recovery Advocate,recovery_services,West Palm Beach,123 Generic Addresss rd., West Palm Beach,FL,33458
Galt Ocean Rehab Center,rehab_center,Fort Lauderdale,4001 N Ocean Dr. ,Ft. Lauderdale,FL,33308
Guardian Recovery Network,rehab_center,Delray Beach,3333 S Congress Ave. ,Delray Beach,FL,33445
Child and Family Counseling Center,community_center,Palm Beach Gardens,9 Admirals Court, Palm Beach Gardens,FL,33418
Sunwave Health,resources,Delray Beach,1200 NW 17th Ave., Suite 16 Delray Beach,FL,33445
Bishop Health,rehab_center,Delray Beach,402 SE 6th Ave, Delray Beach,FL,33483
Giz Kids Foundation,resources,Palm Beach Gardens,12468 Nautilus Circle ,Palm Beach Gardens,FL,33412
Zinnia Health,rehab_center,Delray Beach,1615 S Congress Ave Suite 100, Delray Beach,FL,33445
Choices Sober Houses,rehab_center,Poinciana Park,4001-4099 Federal Hwy, West Palm Beach,FL,33405
FHE Health,rehab_center,Deerfield Beach,530 S Federal Hwy. ,Deerfield Beach ,FL,33441
Everglades Area Health Education Center,recovery_services,Mangonia Park,5725 Corporate Way Suite #102,West Palm Beach,FL,33407
Mandala Healing Center,rehab_center,Mangonia Park,5408 East Ave, West Palm Beach,FL,33407
Health Max Center,wellness_fitness,Palm Beach Gardens,8895 N Military Trl Suite 102D,Palm Beach Gardens, FL,33410
Figler Chiropractic & Total Wellness,wellness_fitness,Jupiter,525 Northlake Blvd. #2,Jupiter,FL,33408
Lighthouse Recovery Institute,rehab_center,Boynton Beach,1609 S Congress Ave, Boynton Beach,FL,33426
Pediatric Associates Boynton East,doctors_office,Boynton Beach,379 N Congress Ave, Boynton Beach,FL,33436
Bloom Medical,doctors_office,Boynton Beach,1101 N Congress Ave Suite #100, Boynton Beach,FL,33426
Dr. Cheryl Y. Hounsell,doctors_office,Boynton Beach,1301 N Congress Ave, Boynton Beach,FL,33426
Infinite Integrity Health Center,doctors_office,Boynton Beach,1301 N Congress Ave Suite 420, Boynton Beach,FL,33426
Dr. Joseph Ojea,doctors_office,Boynton Beach,1880 N Congress Ave Suite 303-A, Boynton Beach,FL,33426
J P Family Practice Center,doctors_office,Boynton Beach,2401 Quantum Blvd, Boynton Beach,FL,33426
Sussman OB/GYN,doctors_office,Boynton Beach,1301 North Congress Ave. Suite 200, Boynton Beach,FL,33426
Xpress Urgent Care - Boynton Beach,doctors_office,Boynton Beach,1485 Gateway Blvd Suite 101, Boynton Beach,FL,33426
Medical Specialists of The Palm Beaches,doctors_office,Boynton Beach,1880 N. Congress Ave, Suite 303A,FL,33426
Clean Recovery Center,rehab_center,Tampa,508 W Fletcher Ave, Tampa,FL,33612
Fort Lauderdale Behavioral Health,hospitals,Oakland Park,5757 N Dixie Hwy ,Oakland Park,FL,33334
Sanitas,doctors_office,Boynton Beach,1501 N Congress Ave, Boynton Beach,FL,33426
Q Space Detox,detox,West Palm Beach,412 SW 5th St, Homestead,FL,33030
Futures Recovery Healthcare,treatment_center,Tequesta,701 N Dixie Hwy Tequesta, FL 33469,FL,33469
Recreate Life Counseling,treatment_center,Boynton Beach,3652 S Seacrest Blvd, Boynton Beach,FL,33435
Family First Adolescent Services,treatment_center,Palm Beach Gardens,700 Village Square Crossing STE 101, Palm Beach Gardens,FL,33410
Fusion Academy Miami,schools,Dadeland,9130 S Dadeland Blvd #102, Miami,FL,33156
National Alliance on Mental Health,health_foundations,Stuart,101 SE Central Parkway Stuart, FL 34994,FL,34994
The Benjamin School Jupiter,schools,Jupiter,4875 Grandiflora Rd, Palm Beach Gardens,FL,33418
The Weiss School,schools,Palm Beach Gardens,176 Burns Rd, Palm Beach Gardens,FL,33410
Palm Beach Gardens Police,first_responders,Palm Beach Gardens,10500 N Military Trl, Palm Beach Gardens,FL,33410
St. Mark's Episcopal School,schools,Palm Beach Gardens,3395 Burns Road ,Palm Beach Gardens,FL,33410
The Benjamin School PBG,schools,Palm Beach Gardens,11000 Ellison Wilson Road ,Palm Beach Gardens,FL,33410
The King's Academy,schools,Palm Springs,8401 Belvedere Rd, West Palm Beach,FL,33411
